t,x,ext_kni â€“ lineage
12.55,4.5,0
12.55,5.5,0
12.55,6.5,0
12.55,7.5,0
12.55,8.5,0
12.55,9.5,0
12.55,10.5,0
12.55,11.5,0
23.5,8.5,0
23.5,9.5,0
23.5,10.5,0
23.5,11.5,0
23.5,12.5,0
23.5,13.5,0
23.5,14.5,0
23.5,15.5,0
23.5,16.5,0
23.5,17.5,0
23.5,18.5,0
23.5,19.5,0
23.5,20.5,0
23.5,21.5,0
23.5,22.5,0
40.25,16.5,3.98
40.25,17.5,4.74
40.25,18.5,4.4
40.25,19.5,3.86
40.25,20.5,3.54
40.25,21.5,4.12
40.25,22.5,4.65
40.25,23.5,4.71
40.25,24.5,4.91
40.25,25.5,7.94
40.25,26.5,11.5
40.25,27.5,18.86
40.25,28.5,29.64
40.25,29.5,47.18
40.25,30.5,69.41
40.25,31.5,73.47
40.25,32.5,94.03
40.25,33.5,80.5
40.25,34.5,89.42
40.25,35.5,80.81
40.25,36.5,61.98
40.25,37.5,56.99
40.25,38.5,40.08
40.25,39.5,26.44
40.25,40.5,16.7
40.25,41.5,11.32
40.25,42.5,8.48
40.25,43.5,6.92
40.25,44.5,9.37
53.925,32.5,7.49
53.925,33.5,6.96
53.925,34.5,4.73
53.925,35.5,4.2
53.925,36.5,6.12
53.925,37.5,7.15
53.925,38.5,6.7
53.925,39.5,6.91
53.925,40.5,5.57
53.925,41.5,6.08
53.925,42.5,7.77
53.925,43.5,5.54
53.925,44.5,4.36
53.925,45.5,4.27
53.925,46.5,5.92
53.925,47.5,2.99
53.925,48.5,3.46
53.925,49.5,4.01
53.925,50.5,3.55
53.925,51.5,5.34
53.925,52.5,4.55
53.925,53.5,8.77
53.925,54.5,13.69
53.925,55.5,19.26
53.925,56.5,28.26
53.925,57.5,40.46
53.925,58.5,52.13
53.925,59.5,68.74
53.925,60.5,85.12
53.925,61.5,101.55
53.925,62.5,109.97
53.925,63.5,121.43
53.925,64.5,125.95
53.925,65.5,136.69
53.925,66.5,121.22
53.925,67.5,117.65
53.925,68.5,106.49
53.925,69.5,94.33
53.925,70.5,75.77
53.925,71.5,62.2
53.925,72.5,56.31
53.925,73.5,37.86
53.925,74.5,29.7
53.925,75.5,22.74
53.925,76.5,20.11
53.925,77.5,14.55
53.925,78.5,10.83
53.925,79.5,9.3
53.925,80.5,7.59
53.925,81.5,5.8
53.925,82.5,2.81
53.925,83.5,3.6
53.925,84.5,3.06
53.925,85.5,1.35
53.925,86.5,2.64
53.925,87.5,2.58
53.925,88.5,4.29
60.175,32.5,2.27
60.175,33.5,4.11
60.175,34.5,0.84
60.175,35.5,2.92
60.175,36.5,2.92
60.175,37.5,1.76
60.175,38.5,1.23
60.175,39.5,0.49
60.175,40.5,1.72
60.175,41.5,1.46
60.175,42.5,1.88
60.175,43.5,0.51
60.175,44.5,0
60.175,45.5,0.23
60.175,46.5,1.67
60.175,47.5,0
60.175,48.5,0.95
60.175,49.5,0.7
60.175,50.5,2.71
60.175,51.5,2.41
60.175,52.5,5.45
60.175,53.5,11.99
60.175,54.5,16.59
60.175,55.5,32.34
60.175,56.5,48.6
60.175,57.5,74.59
60.175,58.5,98.37
60.175,59.5,131.45
60.175,60.5,157.25
60.175,61.5,186.57
60.175,62.5,185.67
60.175,63.5,188.92
60.175,64.5,193.46
60.175,65.5,189.98
60.175,66.5,166.27
60.175,67.5,142.15
60.175,68.5,115.26
60.175,69.5,89.44
60.175,70.5,62.15
60.175,71.5,49.11
60.175,72.5,31.81
60.175,73.5,22.02
60.175,74.5,13.08
60.175,75.5,9.26
60.175,76.5,5.29
60.175,77.5,3.32
60.175,78.5,2.41
60.175,79.5,1.3
60.175,80.5,1.55
60.175,81.5,1.69
60.175,82.5,0
60.175,83.5,1.9
60.175,84.5,0.39
60.175,85.5,1.37
60.175,86.5,1.65
60.175,87.5,4.27
60.175,88.5,4.36
66.425,32.5,7.17
66.425,33.5,7.45
66.425,34.5,5.27
66.425,35.5,7.56
66.425,36.5,4.34
66.425,37.5,6.87
66.425,38.5,9.6
66.425,39.5,8.12
66.425,40.5,8.26
66.425,41.5,6.87
66.425,42.5,6.7
66.425,43.5,7.15
66.425,44.5,7.15
66.425,45.5,6.01
66.425,46.5,5.38
66.425,47.5,6.57
66.425,48.5,4.76
66.425,49.5,5.34
66.425,50.5,5.75
66.425,51.5,7.1
66.425,52.5,4.57
66.425,53.5,10.16
66.425,54.5,16.96
66.425,55.5,31.13
66.425,56.5,47.42
66.425,57.5,67.93
66.425,58.5,96.26
66.425,59.5,128.88
66.425,60.5,164.79
66.425,61.5,193.42
66.425,62.5,191.82
66.425,63.5,202.19
66.425,64.5,207.87
66.425,65.5,191.08
66.425,66.5,166.44
66.425,67.5,134.88
66.425,68.5,107.76
66.425,69.5,80.34
66.425,70.5,55.75
66.425,71.5,35.59
66.425,72.5,26.19
66.425,73.5,19.49
66.425,74.5,11.23
66.425,75.5,9.05
66.425,76.5,6.43
66.425,77.5,7.01
66.425,78.5,6.64
66.425,79.5,4.57
66.425,80.5,4.2
66.425,81.5,4.92
66.425,82.5,4.94
66.425,83.5,6.52
66.425,84.5,4.62
66.425,85.5,4.59
66.425,86.5,5.24
66.425,87.5,6.8
66.425,88.5,5.31
72.675,32.5,6.29
72.675,33.5,4.41
72.675,34.5,6.12
72.675,35.5,7.15
72.675,36.5,6.84
72.675,37.5,10.28
72.675,38.5,8.7
72.675,39.5,11.04
72.675,40.5,11.14
72.675,41.5,10.46
72.675,42.5,6.45
72.675,43.5,5.24
72.675,44.5,7.4
72.675,45.5,6.87
72.675,46.5,9.35
72.675,47.5,6.17
72.675,48.5,6.24
72.675,49.5,5.59
72.675,50.5,3.71
72.675,51.5,4.52
72.675,52.5,4.27
72.675,53.5,10
72.675,54.5,20
72.675,55.5,32.74
72.675,56.5,40.28
72.675,57.5,54.89
72.675,58.5,73.13
72.675,59.5,101.5
72.675,60.5,130.41
72.675,61.5,166.53
72.675,62.5,185.67
72.675,63.5,183.47
72.675,64.5,189.47
72.675,65.5,175.32
72.675,66.5,153
72.675,67.5,124
72.675,68.5,92.66
72.675,69.5,60.02
72.675,70.5,37.17
72.675,71.5,28.84
72.675,72.5,20.74
72.675,73.5,16.15
72.675,74.5,12.37
72.675,75.5,8.96
72.675,76.5,9.91
72.675,77.5,9.19
72.675,78.5,8.54
72.675,79.5,10.35
72.675,80.5,9.65
72.675,81.5,8.31
72.675,82.5,8.86
72.675,83.5,5.73
72.675,84.5,7.38
72.675,85.5,4.41
72.675,86.5,5.92
72.675,87.5,5.36
72.675,88.5,3.8
78.925,32.5,4.92
78.925,33.5,2.51
78.925,34.5,3.69
78.925,35.5,3.76
78.925,36.5,2.6
78.925,37.5,3.94
78.925,38.5,4.8
78.925,39.5,7.4
78.925,40.5,7.1
78.925,41.5,8.33
78.925,42.5,3.57
78.925,43.5,5.78
78.925,44.5,6.17
78.925,45.5,6.66
78.925,46.5,6.4
78.925,47.5,4.59
78.925,48.5,5.57
78.925,49.5,5.89
78.925,50.5,4.96
78.925,51.5,7.08
78.925,52.5,9.58
78.925,53.5,16.03
78.925,54.5,28.98
78.925,55.5,37.47
78.925,56.5,47.05
78.925,57.5,65.8
78.925,58.5,79.14
78.925,59.5,97.86
78.925,60.5,132.15
78.925,61.5,143.07
78.925,62.5,144.42
78.925,63.5,133.89
78.925,64.5,123.24
78.925,65.5,112.13
78.925,66.5,95.54
78.925,67.5,66.17
78.925,68.5,48.26
78.925,69.5,31.83
78.925,70.5,26.89
78.925,71.5,18.26
78.925,72.5,14.2
78.925,73.5,10.49
78.925,74.5,11.09
78.925,75.5,9.28
78.925,76.5,7.17
78.925,77.5,9.47
78.925,78.5,8.84
78.925,79.5,9.12
78.925,80.5,9.07
78.925,81.5,7.28
78.925,82.5,10.3
78.925,83.5,9.74
78.925,84.5,8.51
78.925,85.5,9.02
78.925,86.5,5.71
78.925,87.5,8.65
78.925,88.5,9.05
85.175,32.5,4.08
85.175,33.5,7.1
85.175,34.5,4.5
85.175,35.5,4.45
85.175,36.5,3.62
85.175,37.5,5.17
85.175,38.5,6.17
85.175,39.5,4.2
85.175,40.5,5.57
85.175,41.5,0.95
85.175,42.5,5.15
85.175,43.5,3.02
85.175,44.5,2.58
85.175,45.5,2.76
85.175,46.5,2.81
85.175,47.5,4.59
85.175,48.5,3.22
85.175,49.5,4.57
85.175,50.5,4.06
85.175,51.5,16.7
85.175,52.5,28.42
85.175,53.5,40.32
85.175,54.5,51.34
85.175,55.5,61.46
85.175,56.5,72.64
85.175,57.5,80.67
85.175,58.5,100.97
85.175,59.5,116.02
85.175,60.5,110.13
85.175,61.5,104.79
85.175,62.5,91.41
85.175,63.5,76.44
85.175,64.5,62.41
85.175,65.5,51.09
85.175,66.5,38.7
85.175,67.5,31.85
85.175,68.5,20.02
85.175,69.5,17.21
85.175,70.5,13.57
85.175,71.5,10.25
85.175,72.5,8.51
85.175,73.5,10.25
85.175,74.5,7.93
85.175,75.5,7.54
85.175,76.5,8.75
85.175,77.5,9.19
85.175,78.5,7.7
85.175,79.5,6.68
85.175,80.5,7.66
85.175,81.5,8.44
85.175,82.5,5.38
85.175,83.5,8
85.175,84.5,1.53
85.175,85.5,1.44
85.175,86.5,2.48
85.175,87.5,2.32
85.175,88.5,0.19
91.425,32.5,4.59
91.425,33.5,6.01
91.425,34.5,6.22
91.425,35.5,10.6
91.425,36.5,9.6
91.425,37.5,9.21
91.425,38.5,8.89
91.425,39.5,11.44
91.425,40.5,8.05
91.425,41.5,13.29
91.425,42.5,8.54
91.425,43.5,8.75
91.425,44.5,4.11
91.425,45.5,7.4
91.425,46.5,4.5
91.425,47.5,8.98
91.425,48.5,4.64
91.425,49.5,5.8
91.425,50.5,4.22
91.425,51.5,8.82
91.425,52.5,13.69
91.425,53.5,25.13
91.425,54.5,28.72
91.425,55.5,32.62
91.425,56.5,35.06
91.425,57.5,40.6
91.425,58.5,51.34
91.425,59.5,52.46
91.425,60.5,72.76
91.425,61.5,59.76
91.425,62.5,45.15
91.425,63.5,35.06
91.425,64.5,30.65
91.425,65.5,30.07
91.425,66.5,26.56
91.425,67.5,23.18
91.425,68.5,16.52
91.425,69.5,15.17
91.425,70.5,10
91.425,71.5,10.53
91.425,72.5,10.49
91.425,73.5,7.54
91.425,74.5,7.35
91.425,75.5,8.84
91.425,76.5,7.52
91.425,77.5,9.65
91.425,78.5,9.47
91.425,79.5,9.67
91.425,80.5,7.47
91.425,81.5,10.81
91.425,82.5,6.8
91.425,83.5,5.71
91.425,84.5,5.87
91.425,85.5,4.92
91.425,86.5,9.84
91.425,87.5,6.59
91.425,88.5,7.12
97.675,32.5,1.46
97.675,33.5,0.28
97.675,34.5,4.62
97.675,35.5,4.27
97.675,36.5,2.13
97.675,37.5,3.06
97.675,38.5,1.74
97.675,39.5,1.02
97.675,40.5,0
97.675,41.5,3.04
97.675,42.5,1.48
97.675,43.5,2.13
97.675,44.5,1.21
97.675,45.5,0
97.675,46.5,0
97.675,47.5,0
97.675,48.5,0.93
97.675,49.5,1
97.675,50.5,1.62
97.675,51.5,1.16
97.675,52.5,2
97.675,53.5,3.18
97.675,54.5,9.51
97.675,55.5,16.05
97.675,56.5,15.08
97.675,57.5,18.47
97.675,58.5,19.37
97.675,59.5,19.84
97.675,60.5,27.65
97.675,61.5,19.72
97.675,62.5,18.61
97.675,63.5,12.6
97.675,64.5,10.74
97.675,65.5,13.76
97.675,66.5,10.16
97.675,67.5,2.18
97.675,68.5,4.66
97.675,69.5,3.55
97.675,70.5,5.13
97.675,71.5,1.88
97.675,72.5,4.41
97.675,73.5,4.08
97.675,74.5,0.3
97.675,75.5,5.36
97.675,76.5,5.45
97.675,77.5,0
97.675,78.5,4.48
97.675,79.5,2.51
97.675,80.5,4.71
97.675,81.5,3.36
97.675,82.5,4.13
97.675,83.5,3.99
97.675,84.5,4.5
97.675,85.5,4.41
97.675,86.5,7.68
97.675,87.5,6.73
97.675,88.5,7.08
